id	name	culture	religion	yearFounded	nation	nodes	description
0	Jutes	teutonic	Pagan	0	1	24	<p>One of the most powerful Nordic tribes until they were conquered by the Danes, the Jutes were one of the first Teutonic cultures to establish a permanent settlement in Britain.</p>
1	Angles	teutonic	Pagan	0	1	12	<p>The tribe after which England was named, the Angles, with the help of the Saxons, conquered much of the British Isles and established several small kingdoms there. These and the Saxons were the ancestors of the Old English kings such as Alfred the Great.</p>
2	Frisians	teutonic	Pagan	0	1	24	<p>The primary ancestors of the Dutch, the Frisians did little expansion in their 800 year history, but managed to hold their own during the shifting tides of the Dark Ages until they were finally absorbed into the Frankish Empire.</p>
3	Franks	teutonic	Pagan	0	1	96	<p>One of the most influential Germanic tribes, the Franks created the first European Empire after Rome's decline. The Franks' history is one of conquest and expansion, and under the rule of Charlemagne, they created the first significant example of Western European Medieval culture. The Franks were the primary ancestors of the French and Germans.</p>
4	Saxons	teutonic	Pagan	0	1	48	A <p>powerful Germanic tribe known for their conquest of Britain with the help of the Angles, the Saxons were one of the most resilient Teutonic cultures. In addition to their success and significance in English history, the Saxons of mainland Europe retained their sovereignty for over 800 years, resisting Hun and Avar alike, until they were finally absorbed by Charlemagne's Frankish Empire.</p>
5	Lombards	teutonic	Pagan	0	1	48	<p>The primary ancestors of the Italians, the Lombards were a resourceful Germanic tribe that maintained their identity and bounced back after being conquered by the Huns. Later, they managed to escape conquest by the Avars by allying with them, and then slipping under the Alps to Italy before the Avars could change their mind.</p>
6	Burgundians	teutonic	Pagan	0	1	48	<p>The history of the Burgundians is interrupted by suzerainty. Though a successful tribe at the beginning of the Dark Ages, the Burgundians were crushed by the armies of Attila the Hun and ran to the Roman Empire for asylum. This arrangement lasted until Western Rome fell, when the nation enjoyed sovereignty once again. However, Charlemagne's Frankish Empire soon conquered them for good. The spirit of the Burgundians lives on today however in the French province of Burgundy.</p>
7	Thuringians	teutonic	Pagan	0	1	84	<p>A lesser-known Germanic tribe, the Thuringian's survived the Hun invasion to resurface and thrive until they were absorbed by the Frankish Empire.</p>
8	Alemanni	teutonic	Pagan	0	1	48	<p>One the bolder Germanic tribes, the Alemanni were a constant harassment to Rome before its demise. Though briefly conquered by the Huns, the Alemanni steadily grew their borders until they were conquered by the Franks.</p>
9	Marcomanni	teutonic	Pagan	0	1	24	<p>The Marcomanni were the one of the primary nations involved in the Marcomannic Wars against the Roman Empire. (They were possibly the barbarian tribe represented at the beginning of the movie <i>Gladiator</i>) Though they began their history in Eastern Europe, the Marcomanni joined with the Quadi, the Vandals, and the Alans to flee all the way to modern day Spain when the Huns began their conquest of Eastern Europe. The Marcomanni became one of the primary ancestors of the Spanish and Portuguese.</p>
